pname,balls,wickets,extra,runs,four,six,economy,average,three,five,SR
I Sharma,267,14,27,364,45,7,8.1798,26,2,0,19.0714
SK Raina,6,0,0,6,0,0,6,0,0,0,0
PP Chawla,240,9,6,369,29,19,9.225,41,1,0,26.6667
YK Pathan,6,0,0,8,1,0,8,0,0,0,0
RA Jadeja,320,15,6,347,22,10,6.5063,23.1333,1,0,21.3333
Harbhajan Singh,261,18,10,315,21,15,7.2414,17.5,3,0,14.5
DS Kulkarni,209,6,10,336,36,13,9.6459,56,0,0,34.8333
DJ Bravo,244,13,22,336,29,6,8.2623,25.8462,1,0,18.7692
DW Steyn,46,4,5,74,7,3,9.6522,18.5,0,0,11.5
A Mishra,215,10,3,235,12,7,6.5581,23.5,1,0,21.5
SL Malinga,239,18,24,408,32,21,10.2427,22.6667,3,1,13.2778
KV Sharma,17,1,0,33,1,3,11.6471,33,0,0,17
R Ashwin,330,17,12,400,20,15,7.2727,23.5294,1,0,19.4118
UT Yadav,220,9,15,365,38,17,9.9545,40.5556,2,0,24.4444
Mandeep Singh,12,0,0,26,1,2,13,0,0,0,0
SM Curran,196,11,11,325,31,12,9.949,29.5455,2,0,17.8182
DL Chahar,383,22,17,486,60,12,7.6136,22.0909,2,0,17.4091
Sandeep Sharma,253,13,12,355,29,12,8.419,27.3077,1,0,19.4615
KK Ahmed,181,17,18,250,24,9,8.2873,14.7059,5,0,10.6471
S Nadeem,53,3,1,91,3,7,10.3019,30.3333,0,0,17.6667
Rashid Khan,331,19,14,364,30,13,6.5982,19.1579,1,0,17.4211
V Shankar,48,2,4,70,8,1,8.75,35,0,0,24
SN Thakur,176,9,14,285,29,11,9.7159,31.6667,1,0,19.5556
JD Unadkat,215,10,18,395,28,22,11.0233,39.5,0,0,21.5
AS Rajpoot,93,3,11,157,17,4,10.129,52.3333,0,0,31
JC Archer,250,12,21,306,21,14,7.344,25.5,2,0,20.8333
S Gopal,279,17,4,338,20,16,7.2688,19.8824,2,0,16.4118
R Tewatia,38,2,1,42,4,2,6.6316,21,0,0,19
R Parag,78,1,0,111,7,4,8.5385,111,0,0,78
Mohammed Shami,316,22,16,477,47,19,9.057,21.6818,2,0,14.3636
M Ashwin,202,5,10,257,20,6,7.6337,51.4,0,0,40.4
MP Stoinis,98,2,5,147,8,8,9,73.5,0,0,49
TA Boult,114,5,7,163,12,9,8.5789,32.6,0,0,22.8
JJ Bumrah,333,19,25,394,36,10,7.0991,20.7368,2,0,17.5263
KH Pandya,250,10,7,315,23,12,7.56,31.5,1,0,25
RD Chahar,256,13,7,289,17,16,6.7734,22.2308,2,0,19.6923
HH Pandya,239,14,21,377,28,21,9.4644,26.9286,1,0,17.0714
K Rabada,252,26,18,334,33,10,7.9524,12.8462,4,0,9.6923
AR Patel,305,12,5,368,23,17,7.2393,30.6667,0,0,25.4167
HV Patel,24,1,6,37,3,1,9.25,37,0,0,24
N Rana,42,3,2,64,5,3,9.1429,21.3333,0,0,14
SP Narine,260,11,17,353,27,13,8.1462,32.0909,0,0,23.6364
AD Russell,162,10,2,260,24,13,9.6296,26,0,0,16.2
VR Aaron,63,4,14,105,8,3,10,26.25,0,0,15.75
BA Stokes,96,6,19,200,21,7,12.5,33.3333,0,0,16
CV Varun,18,1,0,35,3,3,11.6667,35,0,0,18
Washington Sundar,53,4,1,75,4,5,8.4906,18.75,1,0,13.25
S Dube,10,0,1,8,0,0,4.8,0,0,0,0
CH Morris,173,12,12,275,32,9,9.5376,22.9167,2,0,14.4167
Arshdeep Singh,55,3,13,117,12,4,12.7636,39,0,0,18.3333
NA Saini,276,12,24,398,48,13,8.6522,33.1667,0,0,23
YS Chahal,291,17,19,393,21,22,8.1031,23.1176,1,0,17.1176
Mohammed Siraj,167,8,16,271,27,13,9.7365,33.875,0,0,20.875
Abhishek Sharma,12,1,1,21,1,1,10.5,21,0,0,12
B Kumar,325,13,18,437,45,16,8.0677,33.6154,0,0,25
J Yadav,42,1,1,50,2,3,7.1429,50,0,0,42
MJ Santner,84,4,11,94,7,2,6.7143,23.5,0,0,21
LH Ferguson,76,1,5,147,14,7,11.6053,147,0,0,76
DJ Hooda,12,1,1,21,1,1,10.5,21,0,0,12
S Kaul,161,6,8,243,15,15,9.0559,40.5,0,0,26.8333
Avesh Khan,18,0,1,30,6,0,10,0,0,0,0
M Prasidh Krishna,211,4,19,351,44,10,9.981,87.75,0,0,52.75
Mujeeb Ur Rahman,113,3,18,193,13,9,10.2478,64.3333,0,0,37.6667
MM Ali,150,7,1,169,11,8,6.76,24.1429,0,0,21.4286
Imran Tahir,383,26,14,440,27,18,6.893,16.9231,3,0,14.7308
Mohammad Nabi,147,7,7,177,10,8,7.2245,25.2857,1,0,21
Kuldeep Yadav,174,2,4,245,17,10,8.4483,122.5,0,0,87
STR Binny,42,1,1,44,3,0,6.2857,44,0,0,42
TG Southee,52,1,13,123,18,4,14.1923,123,0,0,52
Shakib Al Hasan,65,2,1,95,5,6,8.7692,47.5,0,0,32.5
P Negi,66,3,4,103,8,6,9.3636,34.3333,0,0,22
GH Vihari,6,0,0,9,1,0,9,0,0,0,0
MM Sharma,18,1,0,27,4,1,9,27,0,0,18
BCJ Cutting,12,1,0,27,4,1,13.5,27,0,0,12
KC Cariappa,12,0,1,34,2,3,17,0,0,0,0
J Suchith,24,2,0,28,3,1,7,14,0,0,12
MJ McClenaghan,107,3,7,143,12,6,8.0187,47.6667,1,0,35.6667
SN Khan,2,0,0,6,1,0,18,0,0,0,0
BB Sran,12,0,0,27,4,1,13.5,0,0,0,0
CR Brathwaite,18,0,3,29,4,0,9.6667,0,0,0,0
Basil Thampi,47,0,1,71,6,3,9.0638,0,0,0,0
C de Grandhomme,30,0,1,55,3,3,11,0,0,0,0
AJ Tye,132,3,5,233,23,9,10.5909,77.6667,0,0,44
M Markande,36,1,1,59,6,3,9.8333,59,0,0,36
K Khejroliya,24,1,1,29,1,2,7.25,29,0,0,24
K Gowtham,116,1,7,171,15,6,8.8448,171,0,0,116
IS Sodhi,43,4,1,67,1,6,9.3488,16.75,1,0,10.75
S Lamichhane,113,7,1,182,14,11,9.6637,26,1,0,16.1429
KMA Paul,161,10,23,239,18,8,8.9068,23.9,2,0,16.1
Rasikh Salam,24,0,3,42,3,2,10.5,0,0,0,0
GC Viljoen,134,8,19,229,25,6,10.2537,28.625,1,0,16.75
P Ray Barman,24,0,0,56,3,4,14,0,0,0,0
JP Behrendorff,111,5,6,168,19,8,9.0811,33.6,0,0,22.2
SC Kuggeleijn,48,2,2,71,6,3,8.875,35.5,0,0,24
AS Joseph,50,6,5,89,10,5,10.68,14.8333,0,1,8.3333
HF Gurney,161,7,8,239,23,7,8.9068,34.1429,0,0,23
S Midhun,11,0,3,29,2,2,15.8182,0,0,0,0
LS Livingstone,6,0,0,13,0,2,13,0,0,0,0
Harpreet Brar,30,0,0,48,3,3,9.6,0,0,0,0
SE Rutherford,40,1,6,60,4,1,9,60,0,0,40
Y Prithvi Raj,30,1,3,57,6,2,11.4,57,0,0,30
O Thomas,51,3,6,77,8,1,9.0588,25.6667,0,0,17
AS Roy,12,1,3,11,0,0,5.5,11,0,0,12
S Sandeep Warrier,71,2,2,86,8,3,7.2676,43,0,0,35.5